address;region;city;okato;oktmo;timezone;geo_lat;geo_lon;population;foundation_year
Респ Адыгея, г. Адыгейск;1;Адыгейск;79403000000;79703000001;UTC+3;44.878414;39.190289;12689;1969
г. Майкоп;1;Майкоп;79401000000;79701000001;UTC+3;44.6098268;40.1006606;144055;1857
г. Горно-Алтайск;2;Горно-Алтайск;84401000000;84701000;UTC+7;51.9581028;85.9603235;62861;1830
Алтайский край, г. Алейск;23;Алейск;1403000000;1703000;UTC+7;52.4922513;82.7793606;28528;1913
г. Барнаул;23;Барнаул;1401000000;1701000;UTC+7;53.3479968;83.7798064;635585;1730
Алтайский край, г. Белокуриха;23;Белокуриха;1404000000;1704000001;UTC+7;51.996152;84.9839604;15072;1846
Алтайский край, г. Бийск;23;Бийск;1405000000;1705000001;UTC+7;52.5393864;85.2138453;203826;1709
Алтайский край, г. Горняк;23;Горняк;1225501000;1625101;UTC+7;50.9979622;81.4643358;13040;1942
Алтайский край, г. Заринск;23;Заринск;1406000000;1706000001;UTC+7;53.7063476;84.9315081;47035;1748
Алтайский край, г. Змеиногорск;23;Змеиногорск;1214501000;1614101;UTC+7;51.1581094;82.1872547;10569;1736
Алтайский край, г. Камень-на-Оби;23;Камень-на-Оби;1216501000;1616101001;UTC+7;53.7913974;81.3545053;41787;1751
Алтайский край, г. Новоалтайск;23;Новоалтайск;1413000000;1713000001;UTC+7;53.4119759;83.9311069;73134;1736
Алтайский край, г. Рубцовск;23;Рубцовск;1416000000;1716000;UTC+7;51.5012067;81.2078695;146386;1892
Алтайский край, г. Славгород;23;Славгород;1419000000;1719000001;UTC+7;52.999463;78.6459232;30370;1910
Алтайский край, г. Яровое;23;Яровое;1430000000;1730000;UTC+7;52.9252146;78.5729775;18085;1943
Амурская обл, г. Белогорск;32;Белогорск;10410000000;10710000;UTC+9;50.9213415;128.4739471;68220;1860
г. Благовещенск;32;Благовещенск;10401000000;10701000;UTC+9;50.290659;127.527198;214397;1856
Амурская обл, г. Завитинск;32;Завитинск;10221501000;10621101;UTC+9;50.1064111;129.4391813;11481;1906
Амурская обл, г. Зея;32;Зея;10412000000;10712000;UTC+9;53.7340088;127.265787;25042;1879
Амурская обл, г. Райчихинск;32;Райчихинск;10420000000;10720000;UTC+9;49.7941615;129.4112492;20499;1932
Амурская обл, г. Свободный;32;Свободный;10430000000;10730000;UTC+9;51.3614103;128.1219729;58594;1912
Амурская обл, г. Сковородино;32;Сковородино;10249501000;10649101;UTC+9;53.9871095;123.9437205;9561;1908
Амурская обл, г. Тында;32;Тында;10432000000;10732000;UTC+9;55.1546441;124.7468904;35574;1907
Амурская обл, г. Циолковский;32;Циолковский;10545000000;10770000001;UTC+9;51.762481;128.1219846;6208;1961
Амурская обл, г. Шимановск;32;Шимановск;10440000000;10740000;UTC+9;52.0051886;127.7005458;19815;1910
г. Архангельск;33;Архангельск;11401000000;11701000;UTC+3;64.5394289;40.5169606;348716;1584
Архангельская обл, г. Вельск;33;Вельск;11205501000;11605101001;UTC+3;61.066;42.1032789;23885;1137
Архангельская обл, г. Каргополь;33;Каргополь;11218501000;11618101001;UTC+3;61.5009724;38.9636966;10148;1447
Архангельская обл, г. Коряжма;33;Коряжма;11408000000;11708000001;UTC+3;61.2885948;47.1003015;39629;1535
Архангельская обл, г. Котлас;33;Котлас;11410000000;11710000001;UTC+3;61.2528972;46.633242;60562;1617
Архангельская обл, г. Мезень;33;Мезень;11242501000;11642101001;UTC+3;65.8398078;44.2532273;3599;XVI век
Архангельская обл, г. Мирный;33;Мирный;11525000000;11725000001;UTC+3;62.7645265;40.3360076;30259;1957
Архангельская обл, г. Новодвинск;33;Новодвинск;11415000000;11715000001;UTC+3;64.4136851;40.8208143;40612;1936
Архангельская обл, г. Няндома;33;Няндома;11244501000;11644101001;UTC+3;61.6654674;40.2062947;22354;1898
Архангельская обл, г. Онега;33;Онега;11420000000;11646101001;UTC+3;63.9162928;38.0805031;21359;1137
Архангельская обл, г. Северодвинск;33;Северодвинск;11430000000;11730000001;UTC+3;64.5625385;39.8180934;192265;1936
Архангельская обл, Котласский р-н, г. Сольвычегодск;33;Сольвычегодск;11227504000;11627104001;UTC+3;61.3319616;46.920441;2460;1492
Архангельская обл, г. Шенкурск;33;Шенкурск;11258501000;11658101001;UTC+3;62.1057272;42.8996973;5702;1137
г. Астрахань;34;Астрахань;12401000000;12701000;UTC+4;46.3655652;48.0559236;520662;1558
Астраханская обл, г. Ахтубинск;34;Ахтубинск;12205501000;12605101;UTC+4;48.2752034;46.1906462;41898;1768
Астраханская обл, г. Знаменск;34;Знаменск;12519000000;12719000;UTC+4;48.5866291;45.7368019;29357;1948
Астраханская обл, г. Камызяк;34;Камызяк;12225501000;12625101;UTC+4;46.110579;48.07333;16291;1560
Астраханская обл, г. Нариманов;34;Нариманов;12240501000;12640101;UTC+4;46.6916565;47.8502476;11386;1963
Астраханская обл, г. Харабали;34;Харабали;12245501000;12645101;UTC+4;47.408999;47.2525345;18209;1789
Респ Башкортостан, г. Агидель;3;Агидель;80403000000;80703000;UTC+5;55.8999056;53.9220144;16365;1980
Респ Башкортостан, г. Баймак;3;Баймак;80404000000;80606101001;UTC+5;52.5912896;58.3110998;17710;1850
Респ Башкортостан, г. Белебей;3;Белебей;80405000000;80609101;UTC+5;54.1034582;54.1113129;60183;1757
Респ Башкортостан, г. Белорецк;3;Белорецк;80410000000;80611101;UTC+5;53.9676488;58.4100419;68804;1762
Респ Башкортостан, г. Бирск;3;Бирск;80415000000;80613101;UTC+5;55.4155753;55.5582214;41637;1663
Респ Башкортостан, г. Благовещенск;3;Благовещенск;80417000000;80615101001;UTC+5;55.0499867;55.9553186;34246;1756
Респ Башкортостан, г. Давлеканово;3;Давлеканово;80419000000;80622101;UTC+5;54.2226707;55.0312373;24040;1730
Респ Башкортостан, г. Дюртюли;3;Дюртюли;80418000000;80624101;UTC+5;55.4848318;54.8524765;31272;1795
Респ Башкортостан, г. Ишимбай;3;Ишимбай;80420000000;80631101;UTC+5;53.4545764;56.0438751;66259;1932
Респ Башкортостан, г. Кумертау;3;Кумертау;80423000000;80723000;UTC+5;52.7564939;55.7970197;62854;1947
Респ Башкортостан, г. Межгорье;3;Межгорье;80507000000;80707000;UTC+5;54.2397689;57.9614547;17353;1979
Респ Башкортостан, г. Мелеуз;3;Мелеуз;80425000000;80641101;UTC+5;52.9589532;55.9282838;61408;1766
Респ Башкортостан, г. Нефтекамск;3;Нефтекамск;80427000000;80727000001;UTC+5;56.088377;54.2483061;121757;1957
Респ Башкортостан, г. Октябрьский;3;Октябрьский;80435000000;80735000001;UTC+5;54.4815311;53.4655972;109379;1937
Респ Башкортостан, г. Салават;3;Салават;80439000000;80739000001;UTC+5;53.3616974;55.9245224;156085;1948
Респ Башкортостан, г. Сибай;3;Сибай;80443000000;80743000001;UTC+5;52.7204651;58.6663783;62732;1925
Респ Башкортостан, г. Стерлитамак;3;Стерлитамак;80445000000;80745000;UTC+5;53.6300864;55.9317089;273432;1766
Респ Башкортостан, г. Туймазы;3;Туймазы;80450000000;80651101;UTC+5;54.5999224;53.6950623;66849;1912
г. Уфа;3;Уфа;80401000000;80701000;UTC+5;54.734944;55.9578468;1062300;1574
Респ Башкортостан, г. Учалы;3;Учалы;80455000000;80653101;UTC+5;54.3067375;59.4125461;37771;сер. XVIII века
Респ Башкортостан, г. Янаул;3;Янаул;80460000000;80659101;UTC+5;56.2650146;54.929907;26988;1730-е
Белгородская обл, г. Алексеевка;35;Алексеевка;14410000000;14710000001;UTC+3;50.6299647;38.6880342;39026;1685
г. Белгород;35;Белгород;14401000000;14701000;UTC+3;50.5976472;36.5856652;356426;1596
