Республика Адыгея;1;79;RU-AD
Республика Алтай;4;84;RU-AL
Республика Башкортостан;2;80;RU-BA
Республика Бурятия;3;81;RU-BU
Республика Дагестан;5;82;RU-DA
Республика Ингушетия;6;26;RU-IN
Кабардино-Балкарская Республика;7;83;RU-KB
Республика Калмыкия;8;85;RU-KL
Карачаево-Черкесская Республика;9;91;RU-KC
Республика Карелия;10;86;RU-KR
Республика Коми;11;87;RU-KO
Республика Крым;91;35;UA-43[8]
Республика Марий Эл;12;88;RU-ME
Республика Мордовия;13;89;RU-MO
Республика Саха (Якутия);14;98;RU-SA
Республика Северная Осетия — Алания;15;90;RU-SE
Республика Татарстан;16;92;RU-TA
Республика Тыва;17;93;RU-TY
Удмуртская Республика;18;94;RU-UD
Республика Хакасия;19;95;RU-KK
Чеченская Республика;20;96;RU-CE
Чувашская Республика;21;97;RU-CU
Алтайский край;22;1;RU-ALT
Забайкальский край;75;76;RU-ZAB
Камчатский край;41;30;RU-KAM
Краснодарский край;23;3;RU-KDA
Красноярский край;24;4;RU-KYA
Пермский край;59;57;RU-PER
Приморский край;25;5;RU-PRI
Ставропольский край;26;7;RU-STA
Хабаровский край;27;8;RU-KHA
Амурская область;28;10;RU-AMU
Архангельская область;29;11;RU-ARK
Астраханская область;30;12;RU-AST
Белгородская область;31;14;RU-BEL
Брянская область;32;15;RU-BRY
Владимирская область;33;17;RU-VLA
Волгоградская область;34;18;RU-VGG
Вологодская область;35;19;RU-VLG
Воронежская область;36;20;RU-VOR
Ивановская область;37;24;RU-IVA
Иркутская область;38;25;RU-IRK
Калининградская область;39;27;RU-KGD
Калужская область;40;29;RU-KLU
Кемеровская область;42;32;RU-KEM
Кировская область;43;33;RU-KIR
Костромская область;44;34;RU-KOS
Курганская область;45;37;RU-KGN
Курская область;46;38;RU-KRS
Ленинградская область;47;41;RU-LEN
Липецкая область;48;42;RU-LIP
Магаданская область;49;44;RU-MAG
Московская область;50;46;RU-MOS
Мурманская область;51;47;RU-MUR
Нижегородская область;52;22;RU-NIZ
Новгородская область;53;49;RU-NGR
Новосибирская область;54;50;RU-NVS
Омская область;55;52;RU-OMS
Оренбургская область;56;53;RU-ORE
Орловская область;57;54;RU-ORL
Пензенская область;58;56;RU-PNZ
Псковская область;60;58;RU-PSK
Ростовская область;61;60;RU-ROS
Рязанская область;62;61;RU-RYA
Самарская область;63;36;RU-SAM
Саратовская область;64;63;RU-SAR
Сахалинская область;65;64;RU-SAK
Свердловская область;66;65;RU-SVE
Смоленская область;67;66;RU-SMO
Тамбовская область;68;68;RU-TAM
Тверская область;69;28;RU-TVE
Томская область;70;69;RU-TOM
Тульская область;71;70;RU-TUL
Тюменская область;72;71;RU-TYU
Ульяновская область;73;73;RU-ULY
Челябинская область;74;75;RU-CHE
Ярославская область;76;78;RU-YAR
Москва;77;45;RU-MOW
Санкт-Петербург;78;40;RU-SPE
Севастополь;92;67;UA-40[8]
Еврейская автономная область;79;99;RU-YEV
Ненецкий автономный округ;83;111/118[18];RU-NEN
Ханты-Мансийский автономный округ - Югра;86;71100/718[18];RU-KHM
Чукотский автономный округ;87;77;RU-CHU
Ямало-Ненецкий автономный округ;89;71140/719[18];RU-YAN
