ID;Название компании;Комплекс;Рабочий телефон;Рабочий e-mail;Сайт;region;city;Улица;Округ;Район;Ответственный;Комментарий;Кем создана;Дата создания;Дата изменения
5233;Гимназия № 1539;Гимназия № 1539;;;;78;510;Староалексеевская улица, дом 1;7;2;Анна Гладкая;;Нина Галаева;29.06.2018 10:35;27.08.2018 15:56
5267;Школа № 1213;Школа № 1213;;;;78;510;3-й Нижнелихоборский проезд, дом 6А;8;105;Анна Гладкая;;Нина Галаева;29.06.2018 11:56;30.08.2018 13:10
5207;Школа № 1708;Школа № 1708;+7 (499) 120-00-98, +7(499)120-00-54;sk1708@edu.mos.ru;;78;510;Цюрупы, дом 10, корпус 2;2;114;Анна Гладкая;;Настя Пшеничная;28.06.2018 16:48;03.09.2018 19:45
5051;Школа № 324;Школа № 324;;;;78;510;улица Лобачевского, дом 54;11;82;Анна Гладкая;;Нина Галаева;27.06.2018 14:33;24.12.2019 11:02
5045;Школа № 51;Школа № 51;;;;78;510;Ленинский проспект, дом 125, корпус 4;2;104;Анна Гладкая;;Нина Галаева;27.06.2018 14:07;03.09.2018 19:41
5089;Школа № 554;Школа № 554;;;;78;510;Перекопская улица, дом 7, корпус 3;2;32;Анна Гладкая;;Нина Галаева;28.06.2018 9:50;19.12.2019 16:57
5295;Школа № 924;Школа № 924;;;;78;510;улица Газопровод, дом 5А;1;117;Анна Гладкая;;Нина Галаева;29.06.2018 12:56;22.08.2018 16:31
5364;Школа № Знайка;Школа № Знайка;;;;78;510;улица Космонавта Волкова, 20;8;38;Ильдар Мулюков;;Нина Галаева;29.06.2018 17:52;29.06.2018 17:52
5264;Школа № Пенаты;Школа № Пенаты;;;;78;510;Профсоюзная улица, дом 92;2;37;Ильдар Мулюков;;Нина Галаева;29.06.2018 11:50;29.06.2018 11:50
5084;Школа № Перспектива;Школа № Перспектива;;;;78;510;Синявинская улица, дом 11А;8;61;Ильдар Мулюков;;Алиса Прокофьева;27.06.2018 18:56;27.06.2018 18:56
7390;МБДОУ «Детский сад №76» Сергиев Посад;;;;http://detsad76sp.dsedu/;53;568;141304, г.Сергиев Посад, ул. Толстого, д.3в;;;Марианна Вишнякова;;Владислав Хаханов;20.05.2020 13:52;28.10.2020 16:16
7791;МБДОУ «Детский сад комбинированного вида № 26» Сергиев Посад;;;;http://26per.detkin-club.ru/;53;568;141320, Сергиево-Посадский район, г. Пересвет, ул. Строителей, д.5А;;;Марианна Вишнякова;;Эльвира Галлямова;21.10.2020 17:45;26.10.2020 15:34
7792;МБДОУ «Детский сад комбинированного вида №27» Сергиев Посад;;;;detsad27.org;53;568;141320, Сергиево-Посадский район, г. Пересвет, ул. Строителей, д.1-б;;;Марианна Вишнякова;;Эльвира Галлямова;21.10.2020 17:50;27.10.2020 16:30
