ID;Название компании;Комплекс;Рабочий телефон;Рабочий e-mail;Сайт;region;city;Улица;Округ;Район;Ответственный;Комментарий;Кем создана;Дата создания;Дата изменения
1205;"Детский сад № ""Конфетти"" СП ""Конфетти"" Лицей № 1571";Лицей № 1571;;;;78;510;Свободы, 63, к.2;6;92;Надежда Чихунова;теперь у неё только школьники, ни компас ни морозко им не интересен;Вадим Щенков;24.08.2016 20:56;03.08.2020 14:05
4934;"Детский сад № ""Красное Село"" Лицей № 1500";Лицей № 1500;+7(499)264-85-28;aleksandrova.am_1500@inbox.ru;;78;510;Верхняя Красносельская улица, дом 18;4;41;Надежда Чихунова;Юля  8(915)305-85-55 активная мама, организует съемки не первый раз, все через нее;Настя Пшеничная;26.06.2018 14:37;13.04.2020 11:40
1494;Детский сад № 1682 к.2 ДО № 6 Солнцево Гимназия № 1542;Гимназия № 1542;;;;78;510;Наро-Фоминская улица, 8;11;98;Анна Гладкая;;Вадим Щенков;24.08.2016 20:56;20.04.2020 15:25
4887;Детский сад № 2-й Лучевой просек, дом 5А Гимназия № МИИТ;Гимназия № МИИТ;+7(499)266-69-10;gymnaz_miit@mail.ru;;78;510;2-й Лучевой просек, дом 5А;12;97;Stager Prodaji;;Настя Пшеничная;25.06.2018 18:30;19.02.2020 9:50
2094;Детский сад № 2234 к.2 Здание № 9 Школа № 924;Школа № 924;;;;78;510;Россошанский пр-д, д. 5Б;1;117;Марианна Вишнякова;25% ведет 2 сада 900 и 2234 к2;Анна Гладкая;09.11.2016 12:52;14.09.2020 10:46
2065;Детский сад № 392 До 4 Школа № 1494;Школа № 1494;;;;78;510;Ботаническая улица, дом 5А;7;53;Анастасия Балакина;;Лейсан Ишмухаметова;02.11.2016 14:44;03.09.2020 17:45
2706;Детский сад № 392/2 До 5 Школа № 1494;Школа № 1494;;;;78;510;Ботаническая улица, дом 5;7;53;Анастасия Балакина;;Анна Гладкая;28.09.2017 19:27;03.09.2020 20:42
2454;Детский сад № 4 Здание 1 Химки;;;;https://ds4himki.edumsko.ru/;53;575;МО, Химки, Сходня, Чапаева, д. 24;;;Илья Грачев;КЛ - Ирина Аркадьевна;Лейсан Ишмухаметова;14.06.2017 17:27;28.10.2020 12:05
2414;Детский сад № 42 Химки;;;;https://ds42himki.edumsko.ru/;53;575;Московская область, Химки, Ленинский проспект, дом 8а;;;Илья Грачев;191 ребёнок;Лейсан Ишмухаметова;06.06.2017 14:48;28.10.2020 12:22
2597;"Детский сад № 59/2 ""Берендеево Царство"" Школа Марьина Роща имени В.Ф.Орлова";Школа Марьина Роща имени В.Ф.Орлова;;;;78;510;1-й проезд Марьиной Рощи, дом 3А;7;54;Анна Гладкая;в начале сентября школа заключила договор с компанией, которая их фоткает! право на договор имеет лишь одна компания, других не пускают больше!;Анна Гладкая;28.08.2017 10:31;02.10.2019 23:27
