ID;Название компании;Комплекс;Рабочий телефон;Рабочий e-mail;Сайт;region;city;Улица;Округ;Район;Ответственный;Комментарий;Кем создана;Дата создания;Дата изменения
2200;ТД Типография №11;;;chalova@ruskonvert.ru;;78;510;1-ая Фрезерная ул., д.2/1;3;67;Ильдар Мулюков;;Ильдар Мулюков;10.01.2017 14:05;27.02.2018 18:03
6306;Теремок Люберцы;;89775592703;;;53;550;Мирный, Свободы, 7;;;Надежда Чихунова;знает нас по работе в другом саду. сами обратились, хотят работать только с нами!!;Надежда Чихунова;11.02.2020 13:37;24.10.2020 23:18
3357;ТЕСТЧастный детский клубЯблочки;;;;;78;510;1-й Нагатинский проезд, дом 11 корп 3;1;63;Анастасия Балакина;15.02 ничего не надо!!!!!!! у нас свои!!!!!!;Вадим Щенков;11.03.2018 15:30;23.09.2020 15:37
1819;Типография Баннеры;;;;;78;510;Электрозаводская 21;;;Ринат Мулюков;;Ринат Мулюков;03.10.2016 23:52;14.02.2017 10:36
5868;Токаревская школа №22;;8(495)5575572;mou.school.22@gmail.com;https://lubtokschool22.edumsko.ru/;53;550;Московская область, Люберцы, д. Токарево, Октябрьская, 172;;;Анна Гладкая;Всего классов в школе: 9;Мария Сахарнова;13.08.2019 16:00;24.10.2020 23:18
6211;Толбинская школа;;8(4967)624695;tssh5050@mail.ru;https://tolbinopodr.edumsko.ru/;53;560;Подольск, п. Молодежный, 32;;;Надежда Чихунова;День и время приема посетителей:;Иван Кононов;26.11.2019 16:50;27.10.2020 9:43
5865;Томилино школа №19 МЛАДШАЯ ШКОЛА;;+7(495)5586168;;lubschool-19.edumsko.ru;53;550;Люберецкий Поселение: Томилино Улица: Птицефабрика Дом: 11/1;;;Анна Гладкая;кл - ЕЛЕНА ЮРЬЕВНА;Мария Сахарнова;13.08.2019 15:48;28.10.2020 8:49
5864;Томилино школа №19 СТАРШАЯ ШКОЛА;;+7(495)5570400;school_19@mail.ru;https://lubschool-19.edumsko.ru/;53;550;Московская область, Люберецкий, Томилино, Птицефабрика, 12/1;;;Анна Гладкая;;Мария Сахарнова;13.08.2019 15:42;24.10.2020 23:18
5859;Томилинская школа №14;;8 (495) 557-47-05, 8 (495) 557-44-22;mou.tsosh14@yandex.ru;https://lubtsosh14.edumsko.ru/;53;550;Московская область, Люберецкий, Томилино, Гоголя, 2;;Люберецкий;Рустам Джанкараев;;Мария Сахарнова;13.08.2019 15:16;24.10.2020 23:18
5862;Томилинская школа №17;;8(495) 557 53 54;mouschool17@mail.ru;https://lubmouschool17.edumsko.ru/;53;550;Московская область, Люберецкий, Томилино, Чехова, 2;;;Анна Гладкая;ЕВ давно не работает;Мария Сахарнова;13.08.2019 15:24;26.10.2020 9:19
