id;archiv;name_designer;correction_date;action;pc;bm;alignment;index;index_print_date;bitrix;rating_id;id_shooting_do
13;0;Клаус;26.01.2021;2;1;2;2;2;27.01.2021;;4;1
;;Игорь;21.09.2020;гот.;;;;;30.09.2020;;;1
;;Игорь;01.10.2020;гот.;;;;;01.10.2020;;;2
;;Игорь;01.10.2020;гот.;;;;;01.10.2020;;;116
;;Руслан;01.10.2020;гот.;;;;;28.09.2020;;;3
;;Руслан;01.10.2020;гот.;;;;;30.09.2020;;;4
;;Игорь;01.10.2020;гот.;;;;;01.10.2020;;;150
;;Игорь;01.10.2020;гот.;;;;;01.10.2020;;;151
;;Руслан;01.10.2020;гот.;;;;;01.10.2020;;;152
;;Руслан;01.10.2020;гот.;;;;;28.09.2020;;;5
;;Руслан;01.10.2020;гот.;;;;;01.10.2020;;;6
;;Игорь;01.10.2020;гот.;;;;;30.09.2020;;;7
;;Руслан;01.10.2020;гот.;;;;;30.09.2020;;;87
;;Руслан;01.10.2020;гот.;;;;;30.09.2020;;;8
;;Руслан;01.10.2020;гот.;;;;;30.09.2020;;;177
;;Руслан;01.10.2020;гот.;;;;;30.09.2020;;;9
;;Руслан;01.10.2020;гот.;;;;;02.10.2020;;;10
;;Игорь;01.10.2020;гот.;;;;;01.10.2020;;;11
;;Руслан;01.10.2020;гот.;;;;;07.10.2020;;;12
;;Игорь;01.10.2020;гот.;;;;;02.10.2020;;;161
;;Руслан;01.10.2020;гот.;;;;;01.10.2020;;;13
;;Руслан;01.10.2020;гот.;;;;;30.09.2020;;;14
;;Игорь;01.10.2020;гот.;;;;;02.10.2020;;;16
;;Игорь;01.10.2020;гот.;;;;;02.10.2020;;;90
;;Игорь;01.10.2020;гот.;;;;;01.10.2020;;;18
;;Руслан;01.10.2020;гот.;;;;;01.10.2020;;;154
;;Игорь;01.10.2020;гот.;;;;;30.09.2020;;;185
;;Игорь;04.10.2020;гот.;;;;;08.10.2020;;;19
;;Руслан;05.10.2020;гот.;;;;;14.10.2020;;;20
;;Игорь;04.10.2020;гот.;;;;;08.10.2020;;;15
;;Игорь;04.10.2020;гот.;;;;;07.10.2020;;;21
;;Руслан;06.10.2020;гот.;;;;;07.10.2020;;;81
;;Руслан;03.10.2020;гот.;;;;;08.10.2020;;;22
;;Игорь;03.10.2020;гот.;;;;;08.10.2020;;;75
;;Руслан;05.10.2020;гот.;;;;;07.10.2020;;;24
;;Руслан;04.10.2020;гот.;;;;;07.10.2020;;;25
;;Игорь;03.10.2020;гот.;;;;;07.10.2020;;;36
;;Игорь;05.10.2020;гот.;;;;;07.10.2020;;;26
;;Игорь;06.10.2020;гот.;;;;;08.10.2020;;;125
;;Руслан;02.10.2020;гот.;;;;;07.10.2020;;;27
;;Руслан;04.10.2020;гот.;;;;;08.10.2020;;;28
;;Руслан;03.10.2020;гот.;;;;;07.10.2020;;;29
;;Игорь;04.10.2020;гот.;;;;;07.10.2020;;;30
;;Руслан;03.10.2020;гот.;;;;;07.10.2020;;;31
;;Игорь;05.10.2020;гот.;;;;;07.10.2020;;;32
;;Руслан;06.10.2020;гот.;;;;;07.10.2020;;;33
;;Игорь;09.10.2020;гот.;;;;;12.10.2020;;;34
;;Игорь;10.10.2020;гот.;;;;;15.10.2020;;;127
;;Руслан;08.10.2020;гот.;;;;;12.10.2020;;;128
;;Руслан;07.10.2020;гот.;;;;;14.10.2020;;;35
;;Руслан;07.10.2020;гот.;;;;;12.10.2020;;;37
;;Руслан;07.10.2020;гот.;;;;;14.10.2020;;;38
;;Игорь;08.10.2020;гот.;;;;;15.10.2020;;;39
;;Игорь;09.10.2020;гот.;;;;;13.10.2020;;;40
;;Игорь;10.10.2020;гот.;;;;;19.10.2020;;;41
;;Игорь;07.10.2020;гот.;;;;;12.10.2020;;;42
;;Игорь;07.10.2020;гот.;;;;;17.10.2020;;;43
;;Игорь;08.10.2020;гот.;;;;;17.10.2020;;;46
