id;archiv;correction_date;action;pc;bm;alignment;index;index_print_date;bitrix;rating_id;id_shooting_do;designer_1;designer_2;designer_3
;0;2020-10-01;3;2;1;3;3;2020-10-01;;8;2;2;1;1
;0;2020-10-01;3;3;2;3;3;2020-10-01;;8;116;2;1;1
;0;2020-10-01;3;3;4;3;3;2020-09-28;;8;3;1;1;1
;0;2020-10-01;3;1;4;3;3;2020-09-30;;5;4;1;1;1
;0;2020-10-01;3;1;2;3;3;2020-10-01;;8;150;2;1;1
;0;2020-10-01;3;2;2;3;3;2020-10-01;;8;151;2;1;1
;0;2020-10-01;3;3;1;3;3;2020-10-01;;8;152;1;1;1
;0;2020-10-01;3;3;2;3;3;2020-09-28;;9;5;1;1;1
;0;2020-10-01;3;1;4;3;3;2020-10-01;;8;6;1;1;1
;0;2020-10-01;3;1;3;3;3;2020-09-30;;8;7;2;1;1
;0;2020-10-01;3;2;2;3;3;2020-09-30;;8;87;1;1;1
;0;2020-10-01;3;2;1;3;3;2020-09-30;;9;8;1;1;1
;0;2020-10-01;3;1;2;3;3;2020-09-30;;8;177;1;1;1
;0;2020-10-01;3;3;3;3;3;2020-09-30;;5;9;1;2;2
;0;2020-10-01;3;1;3;3;3;2020-10-02;;6;10;1;2;2
;0;2020-10-01;3;2;2;3;3;2020-10-01;;8;11;2;2;2
;0;2020-10-01;3;2;1;3;3;2020-10-07;;8;12;1;2;2
;0;2020-10-01;3;2;3;3;3;2020-10-02;;8;161;2;2;2
;0;2020-10-01;3;1;2;3;3;2020-10-01;;8;13;1;2;2
;0;2020-10-01;3;3;2;3;3;2020-09-30;;8;14;1;2;2
;0;2020-10-01;3;3;3;3;3;2020-10-02;;5;16;2;2;2
;0;2020-10-01;3;3;1;3;3;2020-10-02;;8;90;2;2;2
;0;2020-10-01;3;2;1;3;3;2020-10-01;;8;18;2;2;2
;0;2020-10-01;3;2;2;3;3;2020-10-01;;8;154;1;2;2
;0;2020-10-01;3;1;2;3;3;2020-09-30;;8;185;2;2;2
;0;2020-10-04;3;1;1;3;3;2020-10-08;;8;19;2;1;1
;0;2020-10-05;3;2;1;3;3;2020-10-14;;8;20;1;1;1
;0;2020-10-04;3;3;2;3;3;2020-10-08;;8;15;2;1;1
;0;2020-10-04;3;3;4;3;3;2020-10-07;;5;21;2;1;1
;0;2020-10-06;3;1;4;3;3;2020-10-07;;8;81;1;1;1
;0;2020-10-03;3;1;2;3;3;2020-10-08;;5;22;1;1;1
;0;2020-10-03;3;2;2;3;3;2020-10-08;;5;75;2;1;1
;0;2020-10-05;3;3;1;3;3;2020-10-07;;5;24;1;1;1
;0;2020-10-04;3;3;2;3;3;2020-10-07;;8;25;1;1;1
;0;2020-10-03;3;1;4;3;3;2020-10-07;;5;36;2;1;1
;0;2020-10-05;3;1;3;3;3;2020-10-07;;8;26;2;1;1
;0;2020-10-06;3;2;2;3;3;2020-10-08;;5;125;2;1;1
;0;2020-10-02;3;2;1;3;3;2020-10-07;;6;27;1;2;1
;0;2020-10-04;3;1;2;3;3;2020-10-08;;5;28;1;2;1
;0;2020-10-03;3;3;3;3;3;2020-10-07;;8;29;1;1;2
;0;2020-10-04;3;1;3;3;3;2020-10-07;;5;30;2;1;2
;0;2020-10-03;3;2;2;3;3;2020-10-07;;8;31;1;2;2
;0;2020-10-05;3;2;1;3;3;2020-10-07;;8;32;2;2;2
;0;2020-10-06;3;2;3;3;3;2020-10-07;;8;33;1;2;2
;0;2020-10-09;3;1;1;3;3;2020-10-12;;8;34;2;1;1
;0;2020-10-10;3;2;1;3;3;2020-10-15;;5;127;2;1;1
;0;2020-10-08;3;3;2;3;3;2020-10-12;;8;128;1;1;1
;0;2020-10-07;3;3;4;3;3;2020-10-14;;8;35;1;1;1
;0;2020-10-07;3;1;4;3;3;2020-10-12;;8;37;1;1;1
;0;2020-10-07;3;1;2;3;3;2020-10-14;;8;38;1;1;1
;0;2020-10-08;3;2;2;3;3;2020-10-15;;5;39;2;1;1
;0;2020-10-09;3;3;1;3;3;2020-10-13;;8;40;2;1;1
;0;2020-10-10;3;3;2;3;3;2020-10-19;;5;41;2;1;1
;0;2020-10-07;3;1;4;3;3;2020-10-12;;5;42;2;1;1
;0;2020-10-07;3;1;3;3;3;2020-10-17;;8;43;2;1;1
