id;archiv;correction_date;action;pc;bm;alignment;index;index_print_date;bitrix;rating_id;id_shooting_do;designer_1;designer_2;designer_3
14;0;26.01.2021;1;1;2;1;1;20.01.2021;;2;1;;1;2
;0;21.09.2020;3;1;1;3;3;30.09.2020;;6;1;2;1;1
;0;01.10.2020;3;2;1;3;3;01.10.2020;;8;2;2;1;1
;0;01.10.2020;3;3;2;3;3;01.10.2020;;8;116;2;1;1
;0;01.10.2020;3;3;4;3;3;28.09.2020;;8;3;1;1;1
;0;01.10.2020;3;1;4;3;3;30.09.2020;;5;4;1;1;1
;0;01.10.2020;3;1;2;3;3;01.10.2020;;8;150;2;1;1
;0;01.10.2020;3;2;2;3;3;01.10.2020;;8;151;2;1;1
;0;01.10.2020;3;3;1;3;3;01.10.2020;;8;152;1;1;1
;0;01.10.2020;3;3;2;3;3;28.09.2020;;9;5;1;1;1
;0;01.10.2020;3;1;4;3;3;01.10.2020;;8;6;1;1;1
;0;01.10.2020;3;1;3;3;3;30.09.2020;;8;7;2;1;1
;0;01.10.2020;3;2;2;3;3;30.09.2020;;8;87;1;1;1
;0;01.10.2020;3;2;1;3;3;30.09.2020;;9;8;1;1;1
;0;01.10.2020;3;1;2;3;3;30.09.2020;;8;177;1;1;1
;0;01.10.2020;3;3;3;3;3;30.09.2020;;5;9;1;2;2
;0;01.10.2020;3;1;3;3;3;02.10.2020;;6;10;1;2;2
;0;01.10.2020;3;2;2;3;3;01.10.2020;;8;11;2;2;2
;0;01.10.2020;3;2;1;3;3;07.10.2020;;8;12;1;2;2
;0;01.10.2020;3;2;3;3;3;02.10.2020;;8;161;2;2;2
;0;01.10.2020;3;1;2;3;3;01.10.2020;;8;13;1;2;2
;0;01.10.2020;3;3;2;3;3;30.09.2020;;8;14;1;2;2
;0;01.10.2020;3;3;3;3;3;02.10.2020;;5;16;2;2;2
;0;01.10.2020;3;3;1;3;3;02.10.2020;;8;90;2;2;2
;0;01.10.2020;3;2;1;3;3;01.10.2020;;8;18;2;2;2
;0;01.10.2020;3;2;2;3;3;01.10.2020;;8;154;1;2;2
;0;01.10.2020;3;1;2;3;3;30.09.2020;;8;185;2;2;2
;0;04.10.2020;3;1;1;3;3;08.10.2020;;8;19;2;1;1
;0;05.10.2020;3;2;1;3;3;14.10.2020;;8;20;1;1;1
;0;04.10.2020;3;3;2;3;3;08.10.2020;;8;15;2;1;1
;0;04.10.2020;3;3;4;3;3;07.10.2020;;5;21;2;1;1
;0;06.10.2020;3;1;4;3;3;07.10.2020;;8;81;1;1;1
;0;03.10.2020;3;1;2;3;3;08.10.2020;;5;22;1;1;1
;0;03.10.2020;3;2;2;3;3;08.10.2020;;5;75;2;1;1
;0;05.10.2020;3;3;1;3;3;07.10.2020;;5;24;1;1;1
;0;04.10.2020;3;3;2;3;3;07.10.2020;;8;25;1;1;1
;0;03.10.2020;3;1;4;3;3;07.10.2020;;5;36;2;1;1
;0;05.10.2020;3;1;3;3;3;07.10.2020;;8;26;2;1;1
;0;06.10.2020;3;2;2;3;3;08.10.2020;;5;125;2;1;1
;0;02.10.2020;3;2;1;3;3;07.10.2020;;6;27;1;2;1
;0;04.10.2020;3;1;2;3;3;08.10.2020;;5;28;1;2;1
;0;03.10.2020;3;3;3;3;3;07.10.2020;;8;29;1;1;2
;0;04.10.2020;3;1;3;3;3;07.10.2020;;5;30;2;1;2
;0;03.10.2020;3;2;2;3;3;07.10.2020;;8;31;1;2;2
;0;05.10.2020;3;2;1;3;3;07.10.2020;;8;32;2;2;2
;0;06.10.2020;3;2;3;3;3;07.10.2020;;8;33;1;2;2
;0;09.10.2020;3;1;1;3;3;12.10.2020;;8;34;2;1;1
;0;10.10.2020;3;2;1;3;3;15.10.2020;;5;127;2;1;1
;0;08.10.2020;3;3;2;3;3;12.10.2020;;8;128;1;1;1
;0;07.10.2020;3;3;4;3;3;14.10.2020;;8;35;1;1;1
;0;07.10.2020;3;1;4;3;3;12.10.2020;;8;37;1;1;1
;0;07.10.2020;3;1;2;3;3;14.10.2020;;8;38;1;1;1
;0;08.10.2020;3;2;2;3;3;15.10.2020;;5;39;2;1;1
